time,latitude,longitude,rf
2015-08-03T00:00:00,18.5,72.5,1.7203642
2015-08-04T00:00:00,18.5,72.5,0.37835947
2015-08-05T00:00:00,18.5,72.5,6.5798407
2015-08-06T00:00:00,18.5,72.5,7.1425805
2015-08-07T00:00:00,18.5,72.5,4.8702044
2015-08-08T00:00:00,18.5,72.5,6.31645
2015-08-09T00:00:00,18.5,72.5,7.491701
2015-08-10T00:00:00,18.5,72.5,11.403476
2015-08-11T00:00:00,18.5,72.5,7.8570433
2015-08-12T00:00:00,18.5,72.5,9.806221
2015-08-13T00:00:00,18.5,72.5,4.816212
2015-08-14T00:00:00,18.5,72.5,6.5434256
2015-08-15T00:00:00,18.5,72.5,9.420118
2015-08-16T00:00:00,18.5,72.5,1.719713
2015-08-17T00:00:00,18.5,72.5,5.030197
2015-08-18T00:00:00,18.5,72.5,10.45922
2015-08-19T00:00:00,18.5,72.5,0.1776157
2015-08-20T00:00:00,18.5,72.5,0.0
2015-08-21T00:00:00,18.5,72.5,2.6003158
2015-08-22T00:00:00,18.5,72.5,5.8890276
2015-08-23T00:00:00,18.5,72.5,0.95574325
2015-08-24T00:00:00,18.5,72.5,0.5338879
2015-08-25T00:00:00,18.5,72.5,6.768004
2015-08-26T00:00:00,18.5,72.5,10.391433
2015-08-27T00:00:00,18.5,72.5,1.0861194
2015-08-28T00:00:00,18.5,72.5,78.67721
2015-08-29T00:00:00,18.5,72.5,8.818309
2015-08-30T00:00:00,18.5,72.5,13.071373
2015-08-31T00:00:00,18.5,72.5,0.0
2015-09-01T00:00:00,18.5,72.5,12.154879
2015-09-02T00:00:00,18.5,72.5,4.8538094
2015-09-03T00:00:00,18.5,72.5,0.0
2015-09-04T00:00:00,18.5,72.5,0.0
2015-09-05T00:00:00,18.5,72.5,0.0
2015-09-06T00:00:00,18.5,72.5,0.0
2015-09-07T00:00:00,18.5,72.5,0.0
2015-09-08T00:00:00,18.5,72.5,0.0
2015-09-09T00:00:00,18.5,72.5,22.513216
2015-09-10T00:00:00,18.5,72.5,4.786106
2015-09-11T00:00:00,18.5,72.5,8.286045
2015-09-12T00:00:00,18.5,72.5,0.25035405
2015-09-13T00:00:00,18.5,72.5,8.205539
2015-09-14T00:00:00,18.5,72.5,12.778444
2015-09-15T00:00:00,18.5,72.5,66.92942
2015-09-16T00:00:00,18.5,72.5,1.8192933
2015-09-17T00:00:00,18.5,72.5,26.813633
2015-09-18T00:00:00,18.5,72.5,5.602639
2015-09-19T00:00:00,18.5,72.5,3.987233
2015-09-20T00:00:00,18.5,72.5,7.4092073
2015-09-21T00:00:00,18.5,72.5,14.50015
2015-09-22T00:00:00,18.5,72.5,7.6646295
2015-09-23T00:00:00,18.5,72.5,1.0625224
2015-09-24T00:00:00,18.5,72.5,0.47412783
2015-09-25T00:00:00,18.5,72.5,0.0
2015-09-26T00:00:00,18.5,72.5,0.0
2015-09-27T00:00:00,18.5,72.5,0.0
2015-09-28T00:00:00,18.5,72.5,0.0
2015-09-29T00:00:00,18.5,72.5,0.0
2015-09-30T00:00:00,18.5,72.5,0.0
2016-06-01T00:00:00,18.5,72.5,0.0
2016-06-02T00:00:00,18.5,72.5,0.0
2016-06-03T00:00:00,18.5,72.5,0.3630542
2016-06-04T00:00:00,18.5,72.5,0.0
2016-06-05T00:00:00,18.5,72.5,0.7301714
2016-06-06T00:00:00,18.5,72.5,0.58969516
2016-06-07T00:00:00,18.5,72.5,0.0
2016-06-08T00:00:00,18.5,72.5,0.0
2016-06-09T00:00:00,18.5,72.5,0.0
2016-06-10T00:00:00,18.5,72.5,0.0
2016-06-11T00:00:00,18.5,72.5,35.96669
2016-06-12T00:00:00,18.5,72.5,4.663084
2016-06-13T00:00:00,18.5,72.5,0.51667887
2016-06-14T00:00:00,18.5,72.5,1.9216337
2016-06-15T00:00:00,18.5,72.5,0.55283487
2016-06-16T00:00:00,18.5,72.5,1.5630182
2016-06-17T00:00:00,18.5,72.5,0.0
2016-06-18T00:00:00,18.5,72.5,5.7312765
2016-06-19T00:00:00,18.5,72.5,1.1543809
2016-06-20T00:00:00,18.5,72.5,30.043638
2016-06-21T00:00:00,18.5,72.5,95.26274
2016-06-22T00:00:00,18.5,72.5,10.308721
2016-06-23T00:00:00,18.5,72.5,2.1658597
2016-06-24T00:00:00,18.5,72.5,43.659092
2016-06-25T00:00:00,18.5,72.5,110.40549
2016-06-26T00:00:00,18.5,72.5,154.0534
2016-06-27T00:00:00,18.5,72.5,48.716984
2016-06-28T00:00:00,18.5,72.5,56.2207
2016-06-29T00:00:00,18.5,72.5,88.954796
2016-06-30T00:00:00,18.5,72.5,18.152884
2016-07-01T00:00:00,18.5,72.5,72.99433
2016-07-02T00:00:00,18.5,72.5,63.0751
2016-07-03T00:00:00,18.5,72.5,71.50016
2016-07-04T00:00:00,18.5,72.5,48.94794
2016-07-05T00:00:00,18.5,72.5,25.920628
2016-07-06T00:00:00,18.5,72.5,14.08841
2016-07-07T00:00:00,18.5,72.5,6.1916256
2016-07-08T00:00:00,18.5,72.5,6.4004745
2016-07-09T00:00:00,18.5,72.5,3.335371
2016-07-10T00:00:00,18.5,72.5,4.5327168
2016-07-11T00:00:00,18.5,72.5,8.366398
2016-07-12T00:00:00,18.5,72.5,8.053712
2016-07-13T00:00:00,18.5,72.5,11.513719
2016-07-14T00:00:00,18.5,72.5,7.2552996
2016-07-15T00:00:00,18.5,72.5,20.841871
2016-07-16T00:00:00,18.5,72.5,7.0203032
2016-07-17T00:00:00,18.5,72.5,23.136005
2016-07-18T00:00:00,18.5,72.5,22.056982
2016-07-19T00:00:00,18.5,72.5,75.2015
2016-07-20T00:00:00,18.5,72.5,49.414425
2016-07-21T00:00:00,18.5,72.5,39.430866
2016-07-22T00:00:00,18.5,72.5,12.520869
2016-07-23T00:00:00,18.5,72.5,18.970139
2016-07-24T00:00:00,18.5,72.5,10.380744
2016-07-25T00:00:00,18.5,72.5,15.230251
2016-07-26T00:00:00,18.5,72.5,1.2277269
2016-07-27T00:00:00,18.5,72.5,37.391193
2016-07-28T00:00:00,18.5,72.5,15.005887
2016-07-29T00:00:00,18.5,72.5,52.104893
2016-07-30T00:00:00,18.5,72.5,141.12575
2016-07-31T00:00:00,18.5,72.5,0.0
2016-08-01T00:00:00,18.5,72.5,82.347916
2016-08-02T00:00:00,18.5,72.5,75.36617
2016-08-03T00:00:00,18.5,72.5,14.166579
2016-08-04T00:00:00,18.5,72.5,11.384919
2016-08-05T00:00:00,18.5,72.5,19.253263
2016-08-06T00:00:00,18.5,72.5,30.512466
2016-08-07T00:00:00,18.5,72.5,9.128825
2016-08-08T00:00:00,18.5,72.5,7.198613
2016-08-09T00:00:00,18.5,72.5,6.7548785
2016-08-10T00:00:00,18.5,72.5,8.219274
2016-08-11T00:00:00,18.5,72.5,6.409217
2016-08-12T00:00:00,18.5,72.5,13.715949
2016-08-13T00:00:00,18.5,72.5,1.957629
2016-08-14T00:00:00,18.5,72.5,0.41059655
2016-08-15T00:00:00,18.5,72.5,3.0217423
2016-08-16T00:00:00,18.5,72.5,1.583266
2016-08-17T00:00:00,18.5,72.5,1.103201
2016-08-18T00:00:00,18.5,72.5,3.3994503
2016-08-19T00:00:00,18.5,72.5,1.7666203
2016-08-20T00:00:00,18.5,72.5,4.3654084
2016-08-21T00:00:00,18.5,72.5,1.5916369
2016-08-22T00:00:00,18.5,72.5,3.3576732
2016-08-23T00:00:00,18.5,72.5,8.864204
2016-08-24T00:00:00,18.5,72.5,9.934985
